,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts
0,2,Easy Run with 5x hill bounding at max effort,8146.8,3667,3770,334.0,Run,Run,0.0,3098728009,2020-02-14T11:21:01Z,2020-02-14T12:21:01Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,4,9,0,1,0,False,False,False,False,everyone,False,g3894534,"[47.357401, 8.520873]","[47.357374, 8.52117]",2.222,4.5,76.5,18.0,True,143.5,187.0,False,True,603.6,402.8,3308829390.0,3308829390,garmin_push_4548841747,False,0,0,False,32189792,1,a3098728009,wn``Hmf_s@l@m@^Wn@Bv@NDBZv@dBt@xATd@@`BR`AV^D`@LNXHXb@hCLh@bBlDTVpB|AVTl@lAx@bARZ\r@XZl@VNBzCU\Lt@`@ZHRPlB|@j@JdBh@l@?^DRHRRT@h@KJBZRHVXh@RXVTvAz@h@`@lCrARTZf@zA|@l@nA@XLb@Bl@Nf@LTRp@Nj@D\?HE@_AOy@u@{A]s@IiBEs@H}BHe@JGNLr@Ah@DVJZ@Pj@~@Xz@LTfA`AhAT`@TzBfB`AhABJ?LV|@LZLr@Mj@YVCHEr@S`@O^IHUBU?KGMQKo@OSWG_@Qk@HIDOTc@TiALMl@MRSPm@DOGWSQI_@AWPM?ILGb@@PEf@IP[Tc@Jk@@_AEWB_@LsALyAp@YTWd@OFGZ@bAG\WGa@Wv@]p@SBJCJGB@D^?HFa@C?GVUAIQGcAdAOFCD@BBC?K@LGKAFF@FW\[j@KFADDOP?Db@?BB?FCD@GFAi@GAEV[CEKAM@WN[d@GDWA@VF@DGEE@X@@@OEIrA_@VBFHCFBIPECEa@MUA?EZGBGGIGGUE]XYh@SFANFH@_@Gb@HDBACK@EPGV[^YBDABIPf@@QGU?^GPKAIKG[EUFUN_@h@K?CFDDDAAA?PLG?NBI@DGC^k@b@a@F?@DIHCHj@BQAYFVMHMMGOAYRW^MDCMH_@P]f@WzAe@^Y\GdAq@\KZFt@Il@QRODKJ{@NWd@a@L?FFHRPNJD^@XMPQPERSP]JGr@GpAy@dAWJBLNA^Df@HZ^XRD`@?nA]ZWTa@Bi@Ji@BuAE]Sm@]o@oBuCmC}A_Bu@YWa@c@O[m@s@qAkBKUCMBYPQvASL@r@Ij@@z@IvB^nAd@ZBvAXl@`@N@VEb@SHU?a@BJ?ROTa@@ECMQKi@_@{@Me@IgA_@gAG]Q[sA_AQSWg@SUUMs@MwAk@e@[]a@s@i@Yg@Me@_@s@[_@CAYVOFQ?q@g@WKk@Ae@OYAwBu@e@KUY}AmAYYaAi@g@J}@d@k@RSAe@S]a@Uo@a@y@uAgBQYOMwAg@g@[_@w@w@uBi@oBa@sBKWS[gCg@_BQcCo@SKeA]Q_@SSWC{@W[CU@e@`@,2,,,,,
1,2,Lunch run,9641.3,3791,3853,332.0,Run,Run,0.0,3096121822,2020-02-13T11:20:07Z,2020-02-13T12:20:07Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,7,6,0,1,0,False,False,False,False,everyone,False,g5586542,"[47.357372, 8.52074]","[47.357562, 8.521107]",2.543,5.3,79.2,18.0,True,146.4,162.0,False,True,758.0,446.0,3305920295.0,3305920295,garmin_push_4545509859,False,2,0,False,32189792,1,a3096121822,qn``Hse_s@Hx@JT\f@@rANXTtAJbCHj@Np@`A~@x@`@vBRd@TV\b@zAn@lAAj@DLZTNTPb@CLL\`B`@pAl@n@r@N^TtAJpBCnAJh@r@xAXb@Nr@?VQHeB?XbBRjB?~@Ij@N`ADjBN~@Bf@VxA@^PdA?d@d@nCN|A`AvDDp@Lr@CNRdCAFHb@j@j@rB~BLVVp@TZ@d@Jf@C^OFYCy@]i@{@MC_BZcAz@]@QJADCd@Bf@Fb@?Jn@xCELg@n@u@b@WFWE}@[GIc@KgAJw@ZOZUVo@f@ExAF`@@^PhAQpBDZOPm@Li@CQIKS_A_AYImB^kAv@K\@l@Ph@X\Nf@h@`APr@@d@Fr@I^C~AKZAXLl@GPyBVw@b@]B[CMQWMoBa@SIUa@eAGURKPg@ROVB^`AhDXxAKh@KRQLa@`AOJqAIiAB{Ao@SAMJALITLh@`@dAPbAd@nBP`ABtAFLAJGBLLGDCFSUUCIDGTQRARSFEJq@Ai@JGFE`@MJ]n@?ZVD`@MHRMK?SGT[l@YBCJ@FTJXC@Lm@F{@`@]E[Hc@?QJHVZZXh@b@^fA^z@?z@LTIp@A`ALxAh@n@HdDa@pABh@I`A[BDGL]Dy@Co@LgAl@}@BiDoAwES_@@wAa@kBcAMODEpAHt@a@d@g@?KGEU@_@SJOVARk@RD@GCIUIO@KF[EECBQXOLOlAB^QnAeAz@MAKs@Yv@cBFo@E_@g@aBWyAo@eAGSAi@JUJID?R\tAGl@[hBiAV_@F]M}@F{@I}@@W^]d@Wd@{@t@t@pAVp@W|@KvA_@LYJcBF_@dAqBJm@Ng@@SS[ASb@uAj@{@n@i@FMRNEJBJD?n@QV[LYCeCJg@\OtBoDVW^STIT?l@J|@Hf@@dAQf@_@LYAkAFy@Ni@Zo@|@cAv@g@TIl@DNEVYXcAASKc@As@[_Aq@_A}@a@UUE]@i@KiCw@cEeAcIEm@S_A[sCIqAe@iDE_BEu@Qw@Uq@DYFCfA?h@Q?OSuAc@oAOy@k@kHUo@kA}A{@}@kBaC{@q@qAkCYWaA_@uBW}@_@[Wi@_AUiAQ_BC}@K}Am@oDSk@q@c@,2,,,,,
2,2,Playing with the zones,10354.5,3351,3393,176.0,Run,Run,0.0,3091314337,2020-02-11T17:39:39Z,2020-02-11T18:39:39Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,8,12,0,1,0,False,False,False,False,everyone,False,g3894534,"[47.358264, 8.522023]","[47.403162, 8.578574]",3.09,14.6,79.4,15.0,True,149.7,180.0,False,True,558.8,442.2,3300577312.0,3300577312,garmin_push_4539381492,False,5,0,False,32189792,1,a3091314337,ct``Hsm_s@YJQZy@Ck@Qk@o@O]KMgBaBe@SYq@Ei@GMMS_@?u@ZMJ[JQLQBiAGwA?aDHk@H_CO_@FAQk@FgAIe@MmAm@MMUEi@[KUOOIm@EOo@i@iAiBqDgECMg@s@kAwAOUg@eAiA_BGKG[g@q@o@YYe@BSE]Wi@c@m@qAuAuAgBYe@c@e@cAuAo@Y}@SYOYW_BeA]K?]UGVBb@MAOKI[Kk@]c@c@mAq@EI}@o@m@m@e@Oq@o@o@a@g@c@cAiAME_AmAYOgAiA{@u@?GXaB@e@RuAh@_@HwAToBVo@Gs@FgBEDs@WCSCg@@g@S_AOa@M_AKcB]{BNc@RW?ICa@ECI@}ArAG?GEJyA?u@w@s@@cBGWYUAG?_@Lu@Be@F]]Iw@AkEYMBeACuANe@O[A]HMJKBKLg@H[RAF[Lg@Aa@Ng@F}@CSFy@GcADUHMJ_@RuA?YDQNm@Nk@?]FkAHq@Xm@CMFi@d@Ub@IHu@f@m@NSRYLaAp@c@d@q@Xs@Ly@h@u@Fg@V[VaARiAh@y@Te@TK@URiBt@_Ar@m@@[JIAYKc@\_Bb@KFMR?JCPIVDLOV]X_@j@e@So@EkAUYCi@DgBOaA?Me@CEwA[oAi@_@GYSk@U]Y[Bg@WaAOcAo@i@YK@m@a@i@GUJRa@Oq@EIPq@S{@ASBQN{@HiA`@sADS@e@b@_BLqA`@oB?EMJK?QKCI@KNYBO@eAD_AJm@FSd@mAj@aAz@sBHUDW@q@KeCAmBGeDJ}AAyADy@Cg@Gk@YeAKUUMeD}@gAc@MOKEoA?YG}Bs@u@]c@C}@Wq@Yg@_@g@Oa@Y}@iAuAwAg@s@aBiB}@q@_A{@}B}Bg@aA[_Ae@uBS{A?mAKy@TcCDw@Mm@@[GiBFkBAcADu@Cg@Bk@A{AF}@AcANwBN{@\yATcEd@sBx@cDJc@Fs@Z_B`@eAVgA\_APYt@cBbAcBRg@`@m@J[Te@v@oAH]v@sAVs@l@k@^MBMQQm@Ia@e@a@GYH_@RKPiAbAw@fA{@dAQZ?@GBUGSISDOH]f@KHOVKFCCYi@SMMFSu@KgCFeFEwLIk@WkAUeDYo@OUU}@[mBKgA,2,,,,,
3,2,Easy run with Sandrine,7582.0,3303,3708,117.0,Run,Run,0.0,3088502207,2020-02-10T16:47:52Z,2020-02-10T17:47:52Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,1,11,0,2,0,False,False,False,False,everyone,False,g5586542,"[47.409763, 8.575878]","[47.409959, 8.575807]",2.295,4.9,76.3,18.0,True,137.2,150.0,False,True,505.2,427.8,3297453908.0,3297453908,garmin_push_4535644406,False,0,0,False,32189792,1,a3088502207,_vj`He~is@TL@@Gf@DF^N`A`AnA|@dDnA~@h@zAt@XTf@ZJNt@^d@l@NH~Ch@b@PH?~@`@ZHXLx@l@NPLJb@j@HPPn@JJR@VAXMH?DN`@b@Rj@T\JXDb@FRTJNRND`@VND\DNAFCX]n@gAX]bBcBLSf@i@Xe@TYv@q@\_@h@g@d@UTCdA_Ab@]LQNcAt@iDz@iBVs@@K|AaD`AeCX[LW@QHc@?Wt@mBNS@OJk@J]P[Li@`@u@DCl@eBNaA?MRgAZo@Pi@F]Ts@HSLQ@MHWNSB[l@oA^gB?w@Fo@?a@P_AZg@Z_ATe@@QL[?QDYr@oBPmARm@j@iAL[l@w@Lo@JUVOTyBBm@Cw@FoCEq@Pk@@KK}Bc@aCWeAWg@I[WyAAa@E[Ka@[s@O}@MU?QF_@GgAFw@A_BIkA@k@Ig@?qACgAuAgJGcAQgBQkA[{COMQoBFkBPSJE\g@@Su@aAI[D[La@LOFYV[Rc@BKCMUU_Ai@YA_@@u@JONGJH@_@C_@LQ?Y]_Aq@KCc@]o@UYAQGk@]u@E]EWKUSa@UMMK?[O]][Q_AU{@o@w@e@WYy@SyA_A[BQJOXYZ_B|COz@Up@CZL^?FIEGFTMHWCMEE_@Ga@OGK?KCA_@d@_@hAQT[JGMe@]NJWZKVMl@@b@TRMhCYjCELIDGJ\VHPPHn@pA^j@j@rA_@~AW`BK`@?p@Cr@SrBOj@W^WLiAHMF[`@_@JWLGHKReAnE[rBUbASxAS|@Ij@Qx@Mt@WbAUhAEv@O^MTYXUn@Uv@GZEf@Yz@U|@Gb@Qh@Or@AJI`@Yl@W`@Ih@?`@IXDX@\Eb@_@tB[xBM`@MPGD]WYRMRETARDfAAdAQ|@E`@GVEh@G\OpAG\[d@UXE\?b@Hh@Gb@_@`BMhAOb@C\i@zBYdCY~AUlBILIZC^UjAMx@A\Mx@Ep@WdAKXCVAj@UvA[jAU`@Ql@CV@p@,2,,,,,
4,2,Reintroducing the long runs,28450.7,11078,11116,781.0,Run,Run,2.0,3085601144,2020-02-09T10:47:10Z,2020-02-09T11:47:10Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,9,14,0,1,0,False,False,False,False,everyone,False,g4976965,"[47.409624, 8.575625]","[47.342569, 8.691537]",2.568,5.7,76.4,17.0,True,149.1,173.0,False,True,784.8,417.0,3294162546.0,3294162546,garmin_push_4531746781,False,3,0,False,32189792,1,a3085601144,cuj`Hs|is@rDxClH`DvDrCrJ`DhCjE|ASbAhCJbAjBtAx@FvAeChGiH`AaAhCiA~@oAzB}JtBaEtB{EfB_HhB{Dd@wC`AeBtAcEx@}DDeCbAwBdB_JrC_FP}@^URcC@wKlAlAfBpHrBnAb@z@^bAIbCbC~Bb@|Bh@j@CVg@JfBrBpGb@xHy@lCh@|BAR\UVv@b@^v@[rAvBnAjCdDfC`Ab@|BTVb@iAh@MdGpAxFgArDgE`BgAdCqFbHi@ByH~@}HzBwHdFiMt@_@rAFvD|AXj@`CgA|AgCr@iMKkCP{KjB{IxCsB`@_A[wASgFZw@h@[OwAZ{C|B}Eh@sLJcDzBeE`BmBQqBfA}Lt@iElCcA|AErLbAvCkBbDo@|AuFSmAt@{EIsC\sPzA}Dx@yDpBaEp@hH\hBtA`CfFhDPG~AoDJcBt@cCrDiAvBaCvB_FrDcNl@sAfA_AbA{BtIqDzDqB`CcC~AkDI{BLmEfAoHvA_DdCtAzBaDPiBdCqGl@wDnA}DVmBjDoGlAyHlEg@zAXfEyBdHDjAuAVaE`@uDpAuEpAwArCeAjA@dEj@j@XpFhH~BnGlAx@pBfEl@^`@}@n@cE~@}At@oChC{DjByA`AGbF|CdAC|A}@pAsFvCgE`@wDtB}FnFgHh@Kr@dAd@eAToFe@_Jj@]rAJjAsD|GcEhI~@jB{BjFcAzEEvAq@|@yAvK_DzCgBxFoBtD}DdIcDFeCl@yAQCc@pAA|AmCtA?\hA^x@WtCsDl@aFy@cEuAo@gGz@sJbHyDj@qFD`FeEtBsCxD{JG{Ai@@{DjEWsAPyCK{@tGeIbCiDxBeBB_@Uy@gA@uFzB}DaBfE{GbBmEIe@o@_@oC[sAqBa@gCj@i@Da@oAmCiBqGhDuAd@]@g@oI}HuEdBeIxBqAEUQ?i@vBoDBq@[[{Bj@cAYqBwELw@j@aACyAqCkE}AoAsEb@sCwBaFm@Se@LQ|B?`Am@i@o@iAMuBiAaGeAu@eBAmCb@M`A`AN}CyGmShDi@nHP`LsB|HmO~@aR_@}JqC{QaOkSn@eJyAiCqEaLUCw@nAW@{@y@iOkJo@iBoGiA_Bu@}A?m@o@yBPWvA|AzF\zGqFf@uC|As@|@oAkAmAvBeB|BoAjE|@fCxAxAFfAuB|IaBbDq@jCuAtCSjAs@l@y@WWj@K|CgAjKYjAwBjCiF`K}AMsEnFmGtC,2,,,,,
5,2,Hike down with Sandrine,3024.9,2145,3129,0.0,Run,Run,0.0,3079324682,2020-02-07T11:44:57Z,2020-02-07T12:44:57Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,0,3,0,2,0,False,False,False,False,everyone,False,g4743002,"[47.127002, 7.046645]","[47.116396, 7.079469]",1.41,6.6,56.9,28.0,True,123.2,141.0,False,True,1527.2,920.6,3287214908.0,3287214908,garmin_push_4523874799,False,0,0,False,32189792,1,a3079324682,wns~Goh_j@FKEg@?]Fa@Fy@RiAJUHc@Rs@P{@Ro@D?HMX{@FIz@gCD[v@oA|BoFNqA@[Q_AAQJYJSL}BN}FBUAkCHeA?c@Fo@A_AFe@CaAJcAHaB?e@ESIsABy@CMA_AEW@QGi@Cy@GW@aACcDDS?i@Dq@Jw@@_@AKBMC]L}ABcB@IRm@@YH_@BcAGYB]BMPe@TiABa@@_AFk@?{@H]DGJYHGBGAKD]?WHa@Bk@DGBYFQ@ORg@^g@HW@i@?c@BM?UBMLe@JOXgALQFSFK@GFQ?QNWFe@FOFADGFSJKN[\Y@??DDW?CRYb@kAZQNk@NOBOHKFOBa@HMDa@Ja@@UPSH]LEFIFENW?QPi@Ta@RURGDIJG@EJGFARBJQXENMPALDHAFBDKPGRMNYPKBMPQ?SDMLCBOFEFYN[`@q@Js@V]HYDADCNa@HIJ]FKL_@?MJGBQFGDQBYR[Ro@D]HILGPW\}@RWHULo@HG`@KJ@@JCK~@o@j@Y,2,,,,,
6,2,Morning Run,7996.6,6414,7234,1063.0,Run,Run,0.0,3079022687,2020-02-07T08:43:16Z,2020-02-07T09:43:16Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,0,9,0,1,0,False,False,False,False,everyone,False,g4743002,"[47.117522, 7.07863]","[47.128016, 7.046688]",1.247,3.9,59.0,18.0,True,142.3,163.0,False,True,1604.4,946.2,3286878272.0,3286878272,garmin_push_4523473484,False,0,2,False,32189792,1,a3079022687,osq~Gmpej@K`@QRIXOROj@IL[jACP@DA??JK`@k@xAKNe@hAc@j@Wf@ITQVET_@`@Up@q@p@]@w@XY@o@Tg@`@SDINUNMr@SPi@v@MXCRKHMj@UXIl@KN@LId@_@b@CDAVYZCZ_@f@M\@D_@`@Yp@AJUVAJ]TATQT?ZSFCJIh@KLIj@Wj@AVGTAl@GX@VIX]h@C`@Od@Gb@Gx@[dAGZKTIj@IJEn@FP?TQjAC~@Ob@MzAOf@@`@EVDXU~@Ix@@dAGTDVGTCf@?^DRGN@RM^Hv@Sn@HP@TKLCZJn@At@Dp@CH?VBFDbADNDrADVAHFl@OVALD\HVAFHTARJj@Ed@Df@Gx@KX?j@Ij@C~@A\Db@M~@?\Dd@ETFzAIX@|@CDCpAIf@BVEVD`@Cf@@r@EJQTIV?LXv@@ZAd@Or@]t@Kd@OXIBGZMPAR_@j@Qt@KPYHSXC\KHOb@APMX[~AYv@c@xBGHYxBOZGZGb@Cn@S^Qn@DZE\@NRPLEBDEJQBUKUi@[UmA{AWOIBAP?Ma@SSUCHVrAZj@Lr@F|@T`Ad@hAHv@d@hCJTLnA`@dBVzCn@fDDn@R~@Fz@H`@Dp@r@pEIGy@aB?Jz@|ATVNxA@f@o@RQvDMlAk@jBSTGLItAAt@BTAEDG?_BLkAAwDE_@K[I{@WiA@M?BGESe@YsAUgCKk@u@gCOu@O[IKS{@Sm@DKSy@e@s@UKKW]_@k@uB_@{@SSLLv@`BHh@x@dATd@tA`ADHTlABz@K^?LH\JPl@LXPnA`Ah@t@x@t@p@nAJJDEMe@Ca@UqAM{AK[KgAa@mCO{AOy@GOSuAA_@O{@@G_@eCGMIs@[gAO[Eo@IGCYSc@Gg@K[KMAQAZAA@_@EZGUCq@Ms@Ge@Sq@Ba@BGAIkAkEECQc@UeBq@cCKs@Su@_@eAk@oAkA{B}@Ye@[s@KYQ@I]{ASm@Q[_@aAeAoEu@wBOi@c@cAOmAWeASe@`@jALJB_@F[MqAKc@UqB@`@Jt@d@bCD|AFZR^BNFfAVbAFd@?RZv@bAzD|@bCLj@rC~Br@XLN\n@Z|@j@`ATp@PdAfBrHHn@ZjAXVb@hAj@z@?F,2,,,,,
7,2,Morning Run,6679.7,2911,2933,86.0,Run,Run,0.0,3076066524,2020-02-06T08:08:10Z,2020-02-06T09:08:10Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,2,7,0,2,0,False,False,False,False,everyone,False,g5586542,"[47.142718, 7.278884]","[47.142792, 7.279042]",2.295,3.5,78.5,22.0,True,135.3,152.0,False,True,476.0,416.6,3283589472.0,3283589472,garmin_push_4519675239,False,0,0,False,32189792,1,a3076066524,}pv~G_tlk@DC@GB_AJs@BUEg@Fi@G_@LeE@g@EU@e@Fg@DsAGw@x@[b@Yd@_Az@uAJIJCPBXJnA`ALFVBzA]dCo@z@Wd@E~@UJO?IQmD@UFk@JWRILBRJrAzAv@fA\n@NJLAM_@[i@IWY_BSm@Mw@Ac@KcAKc@Iq@Gu@Be@Pu@ZaAL[T_@NSHCTTHLXbAz@bCLl@Pf@Vb@Ld@j@xARp@r@tCTd@r@dA^l@t@v@JT^f@b@x@fAxBTp@FJTbAb@hAb@`AV^\v@n@hAjAlCVVFLn@x@b@`@|AlAD?@CKa@Y{ASe@Qw@c@cAc@qAs@}Ag@_CA_@[qCScAQsACUFi@AQOcAOqB@IFOrBg@n@a@n@UVERK^YJCDKb@g@BKXg@\_@nAm@dAc@JQA]a@_CQuAIUG[WuBWmA]gC[_B_@{CWeAa@oCI]MOKCs@@cAGE@IRGESxAWp@E|@Kt@Kh@EJm@`A]r@CNGv@@rAFz@?^Cj@SjAGHIx@MTG`@?b@FdALx@X~@B`@D`BHf@Ft@P`ABhBFb@RnBBb@IRWYSa@k@cB_@s@I[Qe@MSOc@GOKIe@y@q@_AS]e@kB_@s@GY}@oAK[]q@Sg@Go@Ma@UmAIW[g@q@q@SWg@Y_@CGBCBe@jAALMb@?HCH?\EFSl@u@z@SZk@vAS|@Cb@@^D^L`@Vf@`@xB`@bANn@Jv@p@~BPbBCGCcAGWMUKKo@oAs@y@MSOO_@i@IC[VOd@E`AI\?d@Gd@Mb@SVUFO?YD[No@TqAVk@RgA\_@Ga@OcAy@SEO?OJ]\UVQZOL]r@c@b@]NSp@KNOBMHCNGb@?zBIpADhCAh@@h@Cj@@ZG~A,2,,,,,
8,2,Afternoon Run,10614.2,3748,3895,225.0,Run,Run,0.0,3074479554,2020-02-05T16:17:16Z,2020-02-05T17:17:16Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,0,9,0,1,0,False,False,False,False,everyone,False,g5586542,"[47.14277, 7.278814]","[47.143476, 7.278334]",2.832,4.6,79.7,18.0,True,143.0,173.0,False,True,476.6,396.0,3281820364.0,3281820364,garmin_push_4517689857,False,0,2,False,32189792,1,a3074479554,iqv~Gqslk@d@s@Bk@TqBGa@@q@EoC@m@Gk@BoAAaCDSp@Qr@_@jBuC\EZJtAfApASbGwAZMj@IFEHa@CoAKiA?]B[HUPSV@d@TR^v@dATb@N^NTXVJA?M_@cAMa@W_BoA{FCc@D{@x@_Dh@kAJKNBPrA`@jAj@~BPn@b@`Aj@`BRn@\bBPh@jBbDpB~BVn@Zn@f@pAd@dA\dATfAP^Z^t@zAn@bAd@xA~@dB`@h@bChBRh@XxALvBLhACx@BnCObCG~Ae@`DMb@MbAQl@Ar@WjAe@|AMr@k@~BIp@]fEOhA?NKn@i@zESlASv@Kj@_@dFc@bAe@vAo@dA_@VWHa@@wAc@k@DSG[Wa@u@Uq@IQUWM_@Mk@{@kCa@eCe@s@O[Qc@Ie@}@}AKe@UWa@iAs@eD?Q]_COgBe@wDCs@IYEBGTI\Ef@O@wCeBG?GREC@CRJbChBH@HEDKBYAUBa@HQTSPWRy@LcALe@Vg@LOFGVANDRPhA`BhB|DF\Vd@L^t@l@JVZXZCLC\YZe@^sCFgAJa@`AeBTSZm@ZWTK^?hChAb@F`@?`@OrByAxAgB\m@Ri@`AsB@g@I}@?gBKmCo@iEo@{Bw@kB]cAUuAi@mBc@_Ce@uC]gCJm@@g@OgBUmAPKjAKr@ShAm@`@Ox@o@hA_Bj@o@FGn@Mp@[RMJU[mEk@qBe@}BS}AsAcH{@eGI]MKo@C{@QWFO\c@hDEn@@d@Gh@GZOTYVa@~@Q`AEj@L~@?lAKr@Qh@Uh@Sx@Gv@LpBV`AVxAFdAJp@LnB?rAThAJlA@~@EFI@GCu@eBq@qBMo@?UO]Q[ESQa@K]OWu@_ASa@ES]o@a@iAm@{@_@_@Kc@MO[m@[q@Ms@Iw@U{@{@iA_@]YKkB{AsBs@Q?]Vu@dAELOb@WxAId@IdAl@mDDg@JWV[RO@SGYs@}@g@{@IGYKsBXu@ESKUScA_Bm@q@SMmABCHA[C@KN_@|CMf@Kv@GLUDCNHl@ETUx@CVQpCe@hFM|AI`BA|@E`@SPMX?NRj@AXe@rDAjAU~BAf@I`AEbAcACc@H}@p@KBKNKp@?VLpAh@~CLpE@nA[xD,2,,,,,
9,2,Afternoon Run,10625.7,3936,3936,300.0,Run,Run,0.0,3071479616,2020-02-04T16:54:53Z,2020-02-04T17:54:53Z,(GMT+01:00) Europe/Zurich,3600.0,,,Suisse,7,7,0,1,0,False,False,False,False,everyone,False,g5586542,"[47.409383, 8.575234]","[47.401844, 8.555759]",2.7,4.8,79.0,14.0,True,145.0,159.0,False,True,602.2,408.6,3278490717.0,3278490717,garmin_push_4513899310,False,0,0,False,32189792,1,a3071479616,ssj`Hezis@j@b@^P\KX\XHt@^r@Tj@d@jA`@h@`@NVpAf@vAhAb@RPTxC`@tBn@xBdCR\PPPl@PTjAYh@dAV\Tf@LdA^RF\t@PNLZDXMXa@Re@d@{@|A_BR[TQ|BwCnAeAtAg@NTj@b@FPDDa@D]Va@t@Up@q@zAYb@a@^}@dC{@dAo@dAq@~@k@fA]fAMt@Wt@Cf@_@fAQv@e@tAc@lBGx@QbA@\GjAStAIbBMdAIjAKtEUlFBtCElBAX]r@Op@Fd@X`AHh@NZBVLp@Fv@RzAN`@NdAjAdBnAnAp@f@\d@pApAVNXb@v@f@Vb@v@bAl@h@PHj@h@PH`Ap@j@RbB\rC~@xANjAGr@N~@d@rAb@bAn@jD`ApFbBx@d@dAb@x@v@`@RzAj@vBdAbEjAx@`@b@^nAl@tBZxEPbBZpA?bCPnBYfC\bACt@Sf@?~@w@b@u@^iADW?WLa@XYt@kAd@wALML]b@u@Pg@@SGc@C_BMY@KNYNk@P]H[Xi@BQNa@B_@P_@D]?[PIHOLs@Pa@Lu@xAaC@YPm@^c@JeAN_@l@aAb@mAh@}@Pi@F[PUFSHeAhAwAR[LyAUe@GYFaA?c@Lm@Am@FQHi@@c@HWHgABmARcAF}BPoA?OBYJa@B_AAk@RmAJcAH_ACSBg@CONc@B}@MaDHq@Cs@]eDEi@Ba@KoBQ]]sA]g@c@_@kAc@e@[]K{@g@eCaAy@U_As@QF]p@Ob@qAjBO`@SbA?d@GxBHp@H|BOvBUbAu@zBQ|@_@v@_@jA[j@CPO^Uh@Y`@s@rB{@~AsAxBQt@}@jBqBvCa@b@i@p@OX}@bAOTEr@m@nAGTYtBg@jBIf@O|CB`@RhA|@bDJTv@f@XXDF?FQ^s@l@IX_@p@i@lBMTKn@Q^q@bAc@`BY^gBnA[Hy@f@oA^y@FiDKQFcAn@}AzAuCTm@b@kAV{@FIb@DNBXCJm@_@cBe@cAc@OO_@ImCgASYqAGo@Ua@WuBo@_@GeCEiB[}Ae@e@Uk@Om@Aa@Qq@c@eAc@wAoBc@W{@aAu@k@_@i@]Ye@q@oA}@,2,,,,,
